width,lr,weight_decay,x_low,x_high,data_pressure,loss_low,loss_high
256,0.003,0.0,8192.0,50000.0,0.06387551665244623,0.23923594970703124,0.12369376729329427
256,0.003,1e-06,8192.0,50000.0,0.06387551665244623,0.23923594970703124,0.12369376729329427
256,0.003,3e-06,8192.0,50000.0,0.06387551665244623,0.23923594970703124,0.12369376729329427
256,0.003,1e-05,8192.0,50000.0,0.06389816753749757,0.23923577067057292,0.1236526158650716
256,0.003,3e-05,8192.0,50000.0,0.06371716375408766,0.2392364573160807,0.12398071390787761
256,0.003,0.0001,8192.0,50000.0,0.0649639049651696,0.2392375559488932,0.12172662607828777
256,0.003,0.0003,8192.0,50000.0,0.06472474080606593,0.2392319061279297,0.12215359191894531
256,0.003,0.001,8192.0,50000.0,0.06379146163762062,0.23922223002115883,0.12383209177652994
256,0.003,0.003,8192.0,50000.0,0.06568923042249282,0.23923140360514325,0.12040845794677735
256,0.003,0.01,8192.0,50000.0,0.06549630213119072,0.2391608144124349,0.12068684997558594
256,0.003,0.03,8192.0,50000.0,0.06439580738366028,0.23894167785644535,0.12245835978190105
