family,strategy,seed,n_train,width,params,lr,weight_decay,step,epochs,examples_seen,train_loss,train_acc,val_loss,val_acc,l2_norm_sq,regularizer_loss,train_total_loss_reported,val_total_loss_reported,elapsed_s
mnist_mlp,scratch,0,8192,32,6634,0.003,0.03,96,3.0,24576,0.2965860590338707,0.91162109375,0.3356894592285156,0.8964,81.19718337059021,1.217957750558853,1.5145438095927237,1.5536472097873686,0.14915037999980996
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0,32,1.0,8192,0.5806587934494019,0.8419189453125,0.5885599487304688,0.844,53.58002244308591,0.0,0.5806587934494019,0.5885599487304688,0.05036485399978119
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0,40,1.25,10240,0.47014378756284714,0.869384765625,0.48373410034179687,0.8646,64.16879937052727,0.0,0.47014378756284714,0.48373410034179687,0.07122696599981282
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0,64,2.0,16384,0.3307946175336838,0.9002685546875,0.36026229248046876,0.8974,84.00585934519768,0.0,0.3307946175336838,0.36026229248046876,0.11726482399990346
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0,90,2.8125,23040,0.26752621680498123,0.922119140625,0.31445364990234376,0.9064,95.7522453814745,0.0,0.26752621680498123,0.31445364990234376,0.1602885399997831
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0,96,3.0,24576,0.25728460028767586,0.9237060546875,0.30415025634765624,0.908,97.95362949371338,0.0,0.25728460028767586,0.30415025634765624,0.1727599449995978
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-06,32,1.0,8192,0.5806587934494019,0.8419189453125,0.5885599487304688,0.844,53.58002244308591,2.6790011221542954e-05,0.5806855834606234,0.5885867387416903,0.05011809000006906
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-06,40,1.25,10240,0.47014378756284714,0.869384765625,0.48373410034179687,0.8646,64.16879937052727,3.208439968526363e-05,0.4701758719625324,0.48376618474148214,0.0651038289997814
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-06,64,2.0,16384,0.3307946175336838,0.9002685546875,0.36026229248046876,0.8974,84.00585934519768,4.2002929672598834e-05,0.3308366204633564,0.36030429541014136,0.10250170200015418
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-06,90,2.8125,23040,0.26752621680498123,0.922119140625,0.31445364990234376,0.9064,95.7522453814745,4.787612269073724e-05,0.267574092927672,0.3145015260250345,0.14415077000012388
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-06,96,3.0,24576,0.25728460028767586,0.9237060546875,0.30415025634765624,0.908,97.95362949371338,4.8976814746856685e-05,0.2573335771024227,0.3041992331624031,0.15722289099994669
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-06,32,1.0,8192,0.5806587934494019,0.8419189453125,0.5885599487304688,0.844,53.58002244308591,8.037003366462887e-05,0.5807391634830665,0.5886403187641335,0.04918781699961983
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-06,40,1.25,10240,0.47014378756284714,0.869384765625,0.48373410034179687,0.8646,64.16879937052727,9.625319905579091e-05,0.47024004076190296,0.4838303535408527,0.06492975099990872
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-06,64,2.0,16384,0.3307946175336838,0.9002685546875,0.36026229248046876,0.8974,84.00585934519768,0.0001260087890177965,0.3309206263227016,0.36038830126948657,0.10214094299954013
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-06,90,2.8125,23040,0.26752621680498123,0.922119140625,0.31445364990234376,0.9064,95.7522453814745,0.00014362836807221174,0.2676698451730534,0.31459727827041595,0.1418116690001625
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-06,96,3.0,24576,0.25728460028767586,0.9237060546875,0.30415025634765624,0.908,97.95362949371338,0.00014693044424057006,0.25743153073191644,0.3042971867918968,0.15652927399969485
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-05,32,1.0,8192,0.5806599259376526,0.8419189453125,0.5885609985351562,0.844,53.57985231280327,0.00026789926156401637,0.5809278251992166,0.5888288977967202,0.055025956999998016
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-05,40,1.25,10240,0.47014471143484116,0.869384765625,0.4837349182128906,0.8646,64.16856287419796,0.0003208428143709898,0.47046555424921216,0.4840557610272616,0.07399591600005806
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-05,64,2.0,16384,0.3307953178882599,0.9002685546875,0.3602626953125,0.8974,84.00540959089994,0.00042002704795449976,0.3312153449362144,0.3606827223604545,0.1159253579999131
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-05,90,2.8125,23040,0.2675269804894924,0.922119140625,0.3144539001464844,0.9064,95.7515557333827,0.00047875777866691356,0.2680057382681593,0.3149326579251513,0.1633490959993651
mnist_mlp,scratch,0,8192,45,9325,0.003,1e-05,96,3.0,24576,0.25728535652160645,0.9237060546875,0.3041505065917969,0.908,97.95287764817476,0.0004897643882408739,0.25777512090984733,0.30464027098003776,0.17719310199936444
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-05,32,1.0,8192,0.5806603282690048,0.8419189453125,0.588561376953125,0.844,53.57978988811374,0.0008036968483217061,0.5814640251173265,0.5893650738014468,0.05880825599979289
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-05,40,1.25,10240,0.4701450318098068,0.869384765625,0.4837351745605469,0.8646,64.16848518699408,0.0009625272778049112,0.47110755908761176,0.4846977018383518,0.07613519499955146
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-05,64,2.0,16384,0.330795593559742,0.9002685546875,0.36026285400390623,0.8974,84.0052757114172,0.001260079135671258,0.33205567269541325,0.3615229331395775,0.12018776399963826
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-05,90,2.8125,23040,0.2675272300839424,0.922119140625,0.31445402221679686,0.9064,95.7513480335474,0.001436270220503211,0.2689635003044456,0.31589029243730005,0.16571354799998517
mnist_mlp,scratch,0,8192,45,9325,0.003,3e-05,96,3.0,24576,0.2572856470942497,0.9237060546875,0.3041506286621094,0.908,97.9526592567563,0.0014692898888513447,0.2587549369831011,0.30561991855096077,0.1794031700001142
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0001,32,1.0,8192,0.5806628167629242,0.8419189453125,0.5885636840820313,0.844,53.57940970733762,0.002678970485366881,0.5833417872482911,0.5912426545673982,0.05552854199959256
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0001,40,1.25,10240,0.4701470509171486,0.869384765625,0.4837369445800781,0.8646,64.16796240210533,0.0032083981201052668,0.47335544903725385,0.48694534270018336,0.07496757199987769
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0001,64,2.0,16384,0.3307971656322479,0.9002685546875,0.3602638244628906,0.8974,84.00428532809019,0.004200214266404509,0.3349973798986524,0.3644640387292951,0.11748332699971797
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0001,90,2.8125,23040,0.2675289064645767,0.922119140625,0.31445457763671875,0.9064,95.74982243776321,0.004787491121888161,0.27231639758646486,0.3192420687586069,0.16237208299935446
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0001,96,3.0,24576,0.2572873644530773,0.9237060546875,0.30415119018554687,0.908,97.95100264251232,0.0048975501321256165,0.26218491458520293,0.3090487403176725,0.17767204699975991
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0003,32,1.0,8192,0.5806706547737122,0.8419189453125,0.5885709350585937,0.844,53.57821572571993,0.008036732358857988,0.5887073871325701,0.5966076674174516,0.04912114600028872
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0003,40,1.25,10240,0.47015346586704254,0.869384765625,0.4837424743652344,0.8646,64.16633787751198,0.009624950681626795,0.4797784165486693,0.49336742504686115,0.06660334200023499
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0003,64,2.0,16384,0.3308021202683449,0.9002685546875,0.36026683959960937,0.8974,84.0012068003416,0.01260018102005124,0.3434023012883961,0.3728670206196606,0.10430128900043201
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0003,90,2.8125,23040,0.2675335593521595,0.922119140625,0.3144570922851562,0.9064,95.74510703980923,0.014361766055971384,0.2818953254081309,0.3288188583411276,0.15275885299979564
mnist_mlp,scratch,0,8192,45,9325,0.003,0.0003,96,3.0,24576,0.2572922520339489,0.9237060546875,0.30415433959960936,0.908,97.94592645764351,0.014691888968646524,0.27198414100259544,0.3188462285682559,0.16736273700007587
mnist_mlp,scratch,0,8192,45,9325,0.003,0.001,32,1.0,8192,0.5806981325149536,0.8419189453125,0.5885965454101563,0.844,53.574010744690895,0.02678700537234545,0.6074851378872991,0.6153835507825017,0.05210425499990379
mnist_mlp,scratch,0,8192,45,9325,0.003,0.001,40,1.25,10240,0.47017616033554077,0.869384765625,0.48376173706054687,0.8646,64.16066993772984,0.03208033496886492,0.5022564953044057,0.5158420720294118,0.06775264699990657
mnist_mlp,scratch,0,8192,45,9325,0.003,0.001,64,2.0,16384,0.3308214694261551,0.9002685546875,0.3602712097167969,0.8974,83.99068784713745,0.041995343923568726,0.37281681334972383,0.4022665536403656,0.1053363149994766
mnist_mlp,scratch,0,8192,45,9325,0.003,0.001,90,2.8125,23040,0.2675510086119175,0.922119140625,0.31446437377929687,0.9064,95.72969765216112,0.04786484882608056,0.31541585743799805,0.3623292226053774,0.14600655300000653
mnist_mlp,scratch,0,8192,45,9325,0.003,0.001,96,3.0,24576,0.25731025263667107,0.9237060546875,0.304159912109375,0.9082,97.92918953299522,0.048964594766497616,0.3062748474031687,0.3531245068758726,0.16087364199938747
mnist_mlp,scratch,0,8192,45,9325,0.003,0.003,32,1.0,8192,0.5807848572731018,0.841796875,0.5886789794921875,0.844,53.56132498383522,0.08034198747575283,0.6611268447488546,0.6690209669679403,0.04820581099920673
mnist_mlp,scratch,0,8192,45,9325,0.003,0.003,40,1.25,10240,0.4702424108982086,0.869384765625,0.4838152954101563,0.8646,64.14351707696915,0.09621527561545372,0.5664576865136624,0.58003057102561,0.0659309509992454
mnist_mlp,scratch,0,8192,45,9325,0.003,0.003,64,2.0,16384,0.33086228370666504,0.900146484375,0.3603061340332031,0.8974,83.96234180778265,0.12594351271167398,0.456805796418339,0.4862496467448771,0.10374764500011224
mnist_mlp,scratch,0,8192,45,9325,0.003,0.003,90,2.8125,23040,0.2676098756492138,0.9219970703125,0.31446378784179685,0.9064,95.67776022851467,0.143516640342772,0.4111265159919858,0.45798042818456886,0.14445961299952614
mnist_mlp,scratch,0,8192,45,9325,0.003,0.003,96,3.0,24576,0.2573634311556816,0.9237060546875,0.30412754516601564,0.9084,97.8693757802248,0.14680406367033721,0.4041674948260188,0.45093160883635286,0.15780456099946605
mnist_mlp,scratch,0,8192,45,9325,0.003,0.01,32,1.0,8192,0.5811076164245605,0.8416748046875,0.5889836303710938,0.8436,53.51622938737273,0.2675811469368637,0.8486887633614242,0.8565647773079574,0.04820635699979903
mnist_mlp,scratch,0,8192,45,9325,0.003,0.01,40,1.25,10240,0.4705236330628395,0.869384765625,0.4840431701660156,0.8648,64.08023853600025,0.3204011926800013,0.7909248257428407,0.804444362846017,0.06346850400041149
mnist_mlp,scratch,0,8192,45,9325,0.003,0.01,64,2.0,16384,0.33105553686618805,0.9000244140625,0.36044447021484377,0.8974,83.84848416596651,0.41924242082983254,0.7502979576960206,0.7796868910446764,0.10760647999995854
mnist_mlp,scratch,0,8192,45,9325,0.003,0.01,90,2.8125,23040,0.2678138464689255,0.9224853515625,0.314591748046875,0.9068,95.49603852629662,0.4774801926314831,0.7452940391004086,0.7920719406783581,0.14879739000025438
mnist_mlp,scratch,0,8192,45,9325,0.003,0.01,96,3.0,24576,0.25754188373684883,0.9237060546875,0.3042342041015625,0.908,97.67036372423172,0.4883518186211586,0.7458937023580074,0.792586022722721,0.16141661900019244
mnist_mlp,scratch,0,8192,45,9325,0.003,0.03,32,1.0,8192,0.5818512141704559,0.8414306640625,0.58968583984375,0.8436,53.39536092430353,0.800930413864553,1.382781628035009,1.3906162537083029,0.05755315900023561
mnist_mlp,scratch,0,8192,45,9325,0.003,0.03,40,1.25,10240,0.47113247215747833,0.869140625,0.4846374206542969,0.8648,63.92264220863581,0.958839633129537,1.4299721052870153,1.443477053783834,0.07484169399958773
mnist_mlp,scratch,0,8192,45,9325,0.003,0.03,64,2.0,16384,0.33153507113456726,0.900390625,0.3607579162597656,0.8978,83.55398268997669,1.2533097403496503,1.5848448114842175,1.6140676566094159,0.113319428000068
mnist_mlp,scratch,0,8192,45,9325,0.003,0.03,90,2.8125,23040,0.2683201767504215,0.92236328125,0.3148453552246094,0.9068,95.03784923255444,1.4255677384883165,1.693887915238738,1.7404130937129259,0.1579558920002455
mnist_mlp,scratch,0,8192,45,9325,0.003,0.03,96,3.0,24576,0.2580158933997154,0.923583984375,0.3044682861328125,0.9078,97.17656442523003,1.4576484663784504,1.7156643597781658,1.7621167525112629,0.17335662200002844
mnist_mlp,scratch,0,8192,64,13258,0.003,0.0,32,1.0,8192,0.48490914702415466,0.8681640625,0.49378984985351565,0.863,67.6808592826128,0.0,0.48490914702415466,0.49378984985351565,0.054147956999258895
mnist_mlp,scratch,0,8192,64,13258,0.003,0.0,40,1.25,10240,0.40036050230264664,0.8841552734375,0.41841468505859375,0.8832,78.24373179674149,0.0,0.40036050230264664,0.41841468505859375,0.07333300999925996
mnist_mlp,scratch,0,8192,64,13258,0.003,0.0,64,2.0,16384,0.29222971200942993,0.9124755859375,0.32859075317382813,0.9024,97.73608659207821,0.0,0.29222971200942993,0.32859075317382813,0.11692347099960898
mnist_mlp,scratch,0,8192,64,13258,0.003,0.0,90,2.8125,23040,0.23919114843010902,0.9271240234375,0.2855817626953125,0.9118,109.12387636303902,0.0,0.23919114843010902,0.2855817626953125,0.16240551299961226
mnist_mlp,scratch,0,8192,64,13258,0.003,0.0,96,3.0,24576,0.2281186804175377,0.9307861328125,0.27976378173828126,0.9146,111.33929339796305,0.0,0.2281186804175377,0.27976378173828126,0.1775834219997705
mnist_mlp,scratch,0,8192,64,13258,0.003,1e-06,32,1.0,8192,0.48490914702415466,0.8681640625,0.49378984985351565,0.863,67.6808592826128,3.38404296413064e-05,0.484942987453796,0.493823690283157,0.05636829100058094
mnist_mlp,scratch,0,8192,64,13258,0.003,1e-06,40,1.25,10240,0.40036050230264664,0.8841552734375,0.41841468505859375,0.8832,78.24373179674149,3.912186589837074e-05,0.400399624168545,0.41845380692449213,0.07333622200076206
mnist_mlp,scratch,0,8192,64,13258,0.003,1e-06,64,2.0,16384,0.29222971200942993,0.9124755859375,0.32859075317382813,0.9024,97.73608659207821,4.8868043296039104e-05,0.29227858005272594,0.32863962121712414,0.11751460899995436
mnist_mlp,scratch,0,8192,64,13258,0.003,1e-06,90,2.8125,23040,0.23919114843010902,0.9271240234375,0.2855817626953125,0.9118,109.12387636303902,5.456193818151951e-05,0.23924571036829054,0.28563632463349403,0.1645522830003756
mnist_mlp,scratch,0,8192,64,13258,0.003,1e-06,96,3.0,24576,0.2281186804175377,0.9307861328125,0.27976378173828126,0.9146,111.33929339796305,5.566964669898152e-05,0.22817435006423667,0.27981945138498027,0.17827465900063544
mnist_mlp,scratch,0,8192,64,13258,0.003,3e-06,32,1.0,8192,0.48490914702415466,0.8681640625,0.49378984985351565,0.863,67.6808592826128,0.0001015212889239192,0.4850106683130786,0.4938913711424396,0.05703082300078677
