n_train,width,lr,weight_decay,x_low,x_high,time_pressure,loss_low,loss_high
16384,45,0.003,0.0003,40.0,192.0,0.1612943732216001,0.48372928873697923,0.23072036743164062
16384,45,0.003,0.001,40.0,192.0,0.16129882195425982,0.4837499267578125,0.23073402709960936
16384,45,0.003,0.003,40.0,192.0,0.16131691389941155,0.48380930786132814,0.23076502888997397
16384,45,0.003,0.01,40.0,192.0,0.16145505547903888,0.4840369567871094,0.23077598673502606
16384,45,0.003,0.03,40.0,192.0,0.16184176124123353,0.48467396647135413,0.23080640360514323
16384,64,0.003,0.0,40.0,192.0,0.13534765230138024,0.4194872843424479,0.20717880249023438
16384,64,0.003,1e-06,40.0,192.0,0.13534765230138024,0.4194872843424479,0.20717880249023438
16384,64,0.003,3e-06,40.0,192.0,0.13534765230138024,0.4194872843424479,0.20717880249023438
16384,64,0.003,1e-05,40.0,192.0,0.13535238313297687,0.41948816528320315,0.20717226257324217
16384,64,0.003,3e-05,40.0,192.0,0.13535247197792938,0.4194883443196615,0.20717230224609376
16384,64,0.003,0.0001,40.0,192.0,0.13531439445798066,0.4194884460449219,0.20723213297526044
16384,64,0.003,0.0003,40.0,192.0,0.1353449538791358,0.41949226074218754,0.2071880116780599
16384,64,0.003,0.001,40.0,192.0,0.13532392291701412,0.41950959676106775,0.2072383371988932
16384,64,0.003,0.003,40.0,192.0,0.13532657399851744,0.4195476013183594,0.20727218322753904
16384,64,0.003,0.01,40.0,192.0,0.1354486644728881,0.4196899434407552,0.20722301228841145
16384,64,0.003,0.03,40.0,192.0,0.13552943750480734,0.42007325846354165,0.20747962544759116
16384,91,0.003,0.0,40.0,192.0,0.11722323853476184,0.3844501037597656,0.20057186584472655
16384,91,0.003,1e-06,40.0,192.0,0.11722323853476184,0.3844501037597656,0.20057186584472655
16384,91,0.003,3e-06,40.0,192.0,0.11722323853476184,0.3844501037597656,0.20057186584472655
16384,91,0.003,1e-05,40.0,192.0,0.11722347783248072,0.38445045776367187,0.20057184448242185
16384,91,0.003,3e-05,40.0,192.0,0.11722337666596543,0.38445054931640626,0.20057209472656248
16384,91,0.003,0.0001,40.0,192.0,0.11724777595424374,0.3844513163248698,0.20053458862304688
16384,91,0.003,0.0003,40.0,192.0,0.11725089330962207,0.3844531575520833,0.20053153991699216
16384,91,0.003,0.001,40.0,192.0,0.11725017995598858,0.38446160685221353,0.20054110819498697
16384,91,0.003,0.003,40.0,192.0,0.11725806186513527,0.38448288574218753,0.2005500233968099
16384,91,0.003,0.01,40.0,192.0,0.11729326975796749,0.3845690348307292,0.20058094482421876
16384,91,0.003,0.03,40.0,192.0,0.11741590302960285,0.3848145100911458,0.2006340555826823
16384,128,0.003,0.0,40.0,192.0,0.10606742206985406,0.3569088663736979,0.19052981974283853
16384,128,0.003,1e-06,40.0,192.0,0.10606742206985406,0.3569088663736979,0.19052981974283853
16384,128,0.003,3e-06,40.0,192.0,0.10606742206985406,0.3569088663736979,0.19052981974283853
16384,128,0.003,1e-05,40.0,192.0,0.10606918081081222,0.35690922444661455,0.1905274190266927
16384,128,0.003,3e-05,40.0,192.0,0.10604915243479723,0.3569082600911458,0.19055787150065104
16384,128,0.003,0.0001,40.0,192.0,0.10606097205600075,0.35690862019856767,0.19053969116210936
16384,128,0.003,0.0003,40.0,192.0,0.1060496978260752,0.3569098449707031,0.19055860087076823
16384,128,0.003,0.001,40.0,192.0,0.10606727615661085,0.35691456095377605,0.1905357432047526
16384,128,0.003,0.003,40.0,192.0,0.10612704740905711,0.3569246805826823,0.190452104695638
16384,128,0.003,0.01,40.0,192.0,0.10621351300297159,0.3569503946940104,0.19034218749999998
16384,128,0.003,0.03,40.0,192.0,0.10643383746069927,0.3570662333170573,0.1901124216715495
16384,181,0.003,0.0,40.0,192.0,0.08851834227571248,0.327143690999349,0.1882924102783203
16384,181,0.003,1e-06,40.0,192.0,0.08851834227571248,0.327143690999349,0.1882924102783203
16384,181,0.003,3e-06,40.0,192.0,0.08851834227571248,0.327143690999349,0.1882924102783203
16384,181,0.003,1e-05,40.0,192.0,0.0885107262529201,0.32714378458658855,0.18830445048014322
16384,181,0.003,3e-05,40.0,192.0,0.08848486523819642,0.3271438212076823,0.18834505310058594
16384,181,0.003,0.0001,40.0,192.0,0.08848630686103934,0.3271439778645833,0.18834294840494792
16384,181,0.003,0.0003,40.0,192.0,0.08849670820551883,0.327144130452474,0.18832678527832034
16384,181,0.003,0.001,40.0,192.0,0.08852717099968178,0.32714645792643227,0.1882813283284505
16384,181,0.003,0.003,40.0,192.0,0.08855962599599208,0.3271545776367188,0.18823853861490883
16384,181,0.003,0.01,40.0,192.0,0.08870337194116532,0.32718436686197916,0.1880428456624349
16384,181,0.003,0.03,40.0,192.0,0.08878619748603915,0.3272339396158854,0.18796249694824219
16384,256,0.003,0.0,40.0,192.0,0.083439081527381,0.3085349161783854,0.1776510447184245
16384,256,0.003,1e-06,40.0,192.0,0.083439081527381,0.3085349161783854,0.1776510447184245
16384,256,0.003,3e-06,40.0,192.0,0.083439081527381,0.3085349161783854,0.1776510447184245
16384,256,0.003,1e-05,40.0,192.0,0.08344360483792058,0.30853624064127605,0.17764527384440107
16384,256,0.003,3e-05,40.0,192.0,0.08345221566478007,0.30853625895182296,0.1776317850748698
16384,256,0.003,0.0001,40.0,192.0,0.08344582466472734,0.3085361592610677,0.17764171040852864
16384,256,0.003,0.0003,40.0,192.0,0.08340403576037458,0.30853602498372396,0.1777071268717448
16384,256,0.003,0.001,40.0,192.0,0.08340376403749057,0.3085373046875,0.17770883280436198
16384,256,0.003,0.003,40.0,192.0,0.0833975675884288,0.30853563435872394,0.17771688232421876
16384,256,0.003,0.01,40.0,192.0,0.08353250037371207,0.3085297810872396,0.17749937133789062
16384,256,0.003,0.03,40.0,192.0,0.08356753641316893,0.30853428751627604,0.17744891967773438
23170,32,0.003,0.0,40.0,272.0,0.1810768619513164,0.5677068400065104,0.22059650878906248
23170,32,0.003,1e-06,40.0,272.0,0.1810768619513164,0.5677068400065104,0.22059650878906248
23170,32,0.003,3e-06,40.0,272.0,0.1810768619513164,0.5677068400065104,0.22059650878906248
23170,32,0.003,1e-05,40.0,272.0,0.1810773167351852,0.5677079711914063,0.22059676818847654
23170,32,0.003,3e-05,40.0,272.0,0.18106773124974496,0.5677083862304687,0.2206155578613281
23170,32,0.003,0.0001,40.0,272.0,0.18109101809423855,0.5677109171549479,0.22057344970703122
23170,32,0.003,0.0003,40.0,272.0,0.1811132053912686,0.5677123860677084,0.22053238728841149
23170,32,0.003,0.001,40.0,272.0,0.18113140576740452,0.5677397054036458,0.22052481791178383
